Año,Código,Asignatura,Horas_Sem,Horas_Tot,Correlatividades,Cuatrimestre,URL
PRIMER AÑO,151,Teoría Contable,4,56,---,1C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/151-251-2018.pdf
PRIMER AÑO,152,Derecho Civil (Cátedra A),4,56,---,1C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/152-252-2018-A.pdf
PRIMER AÑO,,Derecho Civil (Cátedra B),4,56,---,1C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/152-252-2018-B.pdf
PRIMER AÑO,153,Cálculo Diferencial,5,70,---,1C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/153-253-2018.pdf
PRIMER AÑO,154,Derecho Público,4,56,152,2C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/154-254-2018.pdf
PRIMER AÑO,155,Cálculo Integral,3,42,153,2C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/155-255-2018.pdf
PRIMER AÑO,156,Contabilidad Financiera - Registración,4,56,151,2C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/156-2018.pdf
SEGUNDO AÑO,157,Contabilidad Financiera - Exposición,4,56,156,1C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/157-2018.pdf
SEGUNDO AÑO,158,Derecho Comercial,6,84,154,1C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/158-2018.pdf
SEGUNDO AÑO,159,Algebra Lineal,3,42,155,1C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/159-2018.pdf
SEGUNDO AÑO,160,Contabilidad Financiera - Medición,6,84,157,2C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/160-2018.pdf
SEGUNDO AÑO,161,MicroEconomía,6,84,---,2C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/161-2018.pdf
SEGUNDO AÑO,162,Administración Básica,5,70,---,,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/162-2018.pdf
SEGUNDO AÑO,163,Tecnología de la Información,6,84,---,,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/CP/163.pdf
ACREDITACIÓN DE CONOCIMIENTOS AL FINALIZAR EL CICLO BÁSICO,164,Inglés Técnico Básico,---,---,---,,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/Resol CD-101.cod-164.ingles tec.basico-CP.pdf
TERCER AÑO,165,Macroeconomía y Política Económica,7,98,161,1C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/165-2018.pdf
TERCER AÑO,166,Sociedades Comerciales,6,84,158,1C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/166-2018.pdf
TERCER AÑO,167,Doctrinas Sociales y Económicas,5,70,161,1C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/CP/167.pdf
TERCER AÑO,168,Contabilidad de Costos,6,84,160,1C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/168-2018.pdf
TERCER AÑO,169,Estadística,5,70,159,2C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/169-2018.pdf
TERCER AÑO,170,Derecho Laboral y Previsional,5,70,158,2C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/CP/170.pdf
TERCER AÑO,171,Matemática Financiera y Actuarial,4,56,159,2C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/171-2018.pdf
TERCER AÑO,172,Contabilidad de Gestión y Costos,6,84,168,2C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/172-2018.pdf
CUARTO AÑO,173,Contabilidad Financiera para sectores específicos,6,84,160,1C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/173-2018.pdf
CUARTO AÑO,174,Finanzas Públicas,4,56,165,1C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/174-2018.pdf
CUARTO AÑO,175,Métodos Cuantitativos,4,56,169,1C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/175-2018.pdf
CUARTO AÑO,176,Introducción a las Ciencias Sociales,5,70,---,1C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/176-2018.pdf
CUARTO AÑO,177,Cuestiones Contables particulares,4,56,172,2C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/177-2018.pdf
CUARTO AÑO,178,Teoría y Técnica Impositiva I,7,98,160-174,2C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/178-2018.pdf
CUARTO AÑO,179,Administración y Contabilidad Pública,6,84,174,2C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/179-2018.pdf
CUARTO AÑO,180,Administración General y Estratégica,4,56,162,2C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/180-2018.pdf
QUINTO AÑO,181,Auditoría,8,112,177,1C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/181-2018.pdf
QUINTO AÑO,182,Teoría y Técnica Impositiva II,7,98,178,1C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/182-2018.pdf
QUINTO AÑO,183,Administración Financiera,6,84,171,1C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/183-2018.pdf
QUINTO AÑO,184,Taller de preparación para la vida laboral,4,56,---,1C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/184-2018.pdf
QUINTO AÑO,185,Teoría y Técnica Impositiva III,6,84,182,2C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/185-2018.pdf
QUINTO AÑO,186,Concurso y Quiebra,6,84,166-170-181,2C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/186-2018.pdf
QUINTO AÑO,187,Contabilidad Social y Ambiental,2,28,177,2C,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/187-2018.pdf
QUINTO AÑO,,Optativa,4,56,---,2C,
ESPACIO FINAL DE INTEGRACIÓN,188,Espacio de Integración (PPS),8,112,70% Materias Aprobadas,,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/188-2024.pdf
ESPACIO FINAL DE INTEGRACIÓN,189,Prácticas Sociales,3,42,60% Materias Aprobadas,,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/189-2018.pdf
"Nota","NOTA: La correlatividad se aplicará de la siguiente manera: a) Para cursar una asignatura deberá tener regularizada la/s correlativa/s pertinente/s estipuladas para la asignatura y aprobada las correlativas anteriores. b) Para rendir una asignatura deben tener aprobada la correlativa. c) Para cursar Teoría Contable y Cálculo Diferencial deberán acreditar conocimientos en los contenidos aprobados por Ordenanza CD N° 001/2017"
"Optativas",190,Actualización Digital para Profesionales.,,,,,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/190-2018.pdf
"Optativas",191,Administración de Personal,,,,,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/CP/191.pdf
"Optativas",192,Planeamiento a Largo Plazo,,,,,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/192-2024.pdf
