Cuatrimestre,Código,Asignatura,REGIMEN,HORAS,MODALIDAD,url
PRIMER CUATRIMESTRE,2-525,Historia de la Educación Superior,Cuatrimestral,112,A Distancia,
PRIMER CUATRIMESTRE,2-502,Derecho Administrativo,Cuatrimestral,112,A Distancia,
PRIMER CUATRIMESTRE,2-503,Matemática Básica,Cuatrimestral,112,A Distancia,
PRIMER CUATRIMESTRE,2-507,Taller de Investigación en Ciencias Sociales,Cuatrimestral,112,A Distancia,
SEGUNDO CUATRIMESTRE,2-504,Economía,Cuatrimestral,84,A Distancia,
SEGUNDO CUATRIMESTRE,2-526,Instituciones y Normativa de la Educación Superior,Cuatrimestral,84,A Distancia,
SEGUNDO CUATRIMESTRE,2-509,Políticas Públicas,Cuatrimestral,112,A Distancia,
SEGUNDO CUATRIMESTRE,2-512,Gestión y Costos,Cuatrimestral,84,A Distancia,
SEGUNDO CUATRIMESTRE,2-534,Inglés Técnico Básico,Cuatrimestral,60,A Distancia,
SEGUNDO CUATRIMESTRE,2-535,Nivel de Computación Básico,Cuatrimestral,60,A Distancia,
TERCER CUATRIMESTRE,2-527,Educación Superior y Nuevas Tecnologías,Cuatrimestral,112,A Distancia,
TERCER CUATRIMESTRE,2-518,Formulación y Evaluación de Proyectos de Inversión,Cuatrimestral,112,A Distancia,
TERCER CUATRIMESTRE,2-516,Administración de Recursos Humanos,Cuatrimestral,112,A Distancia,
TERCER CUATRIMESTRE,2-521,Marcos regulatorios del empleo público,Cuatrimestral,112,A Distancia,
CUARTO CUATRIMESTRE,2-528,Gestión Económico-Financiera de la Educación Superior,Cuatrimestral,84,A Distancia,
CUARTO CUATRIMESTRE,2-529,Gestión Académica,Cuatrimestral,84,A Distancia,
CUARTO CUATRIMESTRE,2-531,Gestión de la Función Extensión e Investigación,Cuatrimestral,112,A Distancia,
CUARTO CUATRIMESTRE,2-519,Dirección General,Cuatrimestral,112,A Distancia,
QUINTO CUATRIMESTRE,2-530,Educación Superior, Estado y Sociedad,Cuatrimestral,112,A Distancia,
QUINTO CUATRIMESTRE,2-533,Ejercicio Profesional para la Gestión de la Educación Superior,Cuatrimestral,112,A Distancia,
QUINTO CUATRIMESTRE,2-538,Práctica Profesional Académica,Cuatrimestral,140,A Distancia,
