Cuatrimestre,Código,Asignatura,REGIMEN,HORAS,MODALIDAD,url
CICLO BÁSICO,506,Ciencia Política,Cuatrimestral,112,A Distancia,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/506.pdf
CICLO BÁSICO,502,Derecho Administrativo,Cuatrimestral,112,A Distancia,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/502.pdf
CICLO BÁSICO,503,Matemática Básica,Cuatrimestral,112,A Distancia,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/503.pdf
CICLO BÁSICO,507,Taller de Investigación en Ciencias Sociales,Cuatrimestral,112,A Distancia,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/507.pdf
CICLO DE FORMACIÓN PROFESIONAL,504,Economía,Cuatrimestral,112,A Distancia,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/504.pdf
CICLO DE FORMACIÓN PROFESIONAL,508,Tecnologías de Administración y Gestión,Cuatrimestral,112,A Distancia,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/508.pdf
CICLO DE FORMACIÓN PROFESIONAL,509,Políticas Públicas,Cuatrimestral,112,A Distancia,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/509.pdf
CICLO DE FORMACIÓN PROFESIONAL,512,Gestión y Costos,Cuatrimestral,112,A Distancia,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/512.pdf
ACREDITACIÓN DE CONOCIMIENTOS AL FINALIZAR EL 2DO. CUATRIMESTRE,534,Inglés Técnico Básico,Cuatrimestral,60,A Distancia,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/534.pdf
ACREDITACIÓN DE CONOCIMIENTOS AL FINALIZAR EL 2DO. CUATRIMESTRE,535,Nivel de Computación Básico,Cuatrimestral,60,A Distancia,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/535.pdf
ACREDITACIÓN DE CONOCIMIENTOS AL FINALIZAR EL 2DO. CUATRIMESTRE,542,Finanzas Públicas,Cuatrimestral,112,A Distancia,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/542.pdf
ACREDITACIÓN DE CONOCIMIENTOS AL FINALIZAR EL 2DO. CUATRIMESTRE,518,Formulación y Evaluación de Proyectos de Inversión,Cuatrimestral,112,A Distancia,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/518.pdf
ACREDITACIÓN DE CONOCIMIENTOS AL FINALIZAR EL 2DO. CUATRIMESTRE,516,Administración de Recursos Humanos,Cuatrimestral,112,A Distancia,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/516.pdf
ACREDITACIÓN DE CONOCIMIENTOS AL FINALIZAR EL 2DO. CUATRIMESTRE,515,Planeamiento en el Estado,Cuatrimestral,112,A Distancia,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/515.pdf
ACREDITACIÓN DE CONOCIMIENTOS AL FINALIZAR EL 2DO. CUATRIMESTRE,544,Hacienda Pública,Cuatrimestral,112,A Distancia,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/544.pdf
ACREDITACIÓN DE CONOCIMIENTOS AL FINALIZAR EL 2DO. CUATRIMESTRE,547,Marco Regulatorio del Empleo Público,Cuatrimestral,112,A Distancia,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/547.pdf
ACREDITACIÓN DE CONOCIMIENTOS AL FINALIZAR EL 2DO. CUATRIMESTRE,546,Gestión de las Políticas Económicas,Cuatrimestral,112,A Distancia,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/546.pdf
ACREDITACIÓN DE CONOCIMIENTOS AL FINALIZAR EL 2DO. CUATRIMESTRE,519,Dirección General,Cuatrimestral,112,A Distancia,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/519.pdf
ACREDITACIÓN DE CONOCIMIENTOS AL FINALIZAR EL 2DO. CUATRIMESTRE,524,Ejercicio Profesional para la Gestión Pública,Cuatrimestral,140,A Distancia,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/524.pdf
ACREDITACIÓN DE CONOCIMIENTOS AL FINALIZAR EL 2DO. CUATRIMESTRE,523,Gestión de las Políticas Sociales,Cuatrimestral,140,A Distancia,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/523.pdf
ACREDITACIÓN DE CONOCIMIENTOS AL FINALIZAR EL 2DO. CUATRIMESTRE,538,Práctica Profesional Académica,Cuatrimestral,140,A Distancia,https://eco.unca.edu.ar/assets2/users/paginaeco/pdf/carreras/Programas/538.pdf
