Año,Código,Asignatura,Correlativas,Año,Cuatrimestre,url
1,942,Administración General,---,1,1C,/assets/pdf/carreras/Programas/942.pdf
1,943,Sistemas de Información,---,1,1C,/assets/pdf/carreras/Programas/943.pdf
1,944,Derecho Administrativo,---,1,1C,/assets/pdf/carreras/Programas/944.pdf
1,941,Sociología de las Organizaciones,---,1,2C,/assets/pdf/carreras/Programas/941.pdf
1,945,Gestión de las Organizaciones,943,1,2C,/assets/pdf/carreras/Programas/945.pdf
1,946,Estadística Aplicada a la Gestión,943,1,2C,/assets/pdf/carreras/Programas/946.pdf
2,947,Sistema Educativo Argentino,944,2,1C,/assets/pdf/carreras/Programas/947.pdf
2,948,Administración de Recursos Humanos,941 - 942,2,1C,/assets/pdf/carreras/Programas/948.pdf
2,949,Administración Financiera,943 - 945 - 946,2,1C,/assets/pdf/carreras/Programas/949.pdf
2,950,Régimen Laboral del Sector Educación,944 - 947 - 948,2,2C,/assets/pdf/carreras/Programas/950.pdf
2,951,Formulación y Ejecución Presupuestaria,945 - 946 - 949,2,2C,/assets/pdf/carreras/Programas/951.pdf
2,952,Seminario de Integración y Práctica de Administración,---,2,2C,/assets/pdf/carreras/Programas/952.pdf
2,953,Alfabetización Informática,---,2,2C,/assets/pdf/carreras/Programas/953.pdf
