Año,Código,Asignatura,Horas_Sem,Horas_Tot,Correlatividades,Cuatrimestre,URL
PRIMER AÑO,651,Teoría Contable,4,56,---,1º CUATRIMESTRE,assets/pdf/carreras/Programas/TUAC/Resol-CD 123. Teoria Contable -T.U.A.C.D- cod 651.pdf
PRIMER AÑO,652,Derecho Civil,4,56,---,1º CUATRIMESTRE,assets/pdf/carreras/Programas/TUAC/Resol- CD 121. Derecho Civil cat. A- T.U.A.C.D- cod 652.pdf
PRIMER AÑO,653,Cálculo Diferencial,5,70,---,1º CUATRIMESTRE,assets/pdf/carreras/Programas/TUAC/Resol-CD 120. Calculo Diferencial. T.U.A.C.D- cod 653.pdf
PRIMER AÑO,654,Derecho Público,4,56,652,2º CUATRIMESTRE,assets/pdf/carreras/Programas/TUAC/Resol-CD 119. Derecho Publico-T.U.A.C.D- cod 654.pdf
PRIMER AÑO,655,Cálculo Integral,3,42,653,2º CUATRIMESTRE,assets/pdf/carreras/Programas/TUAC/Resol-CD 118. Calculo Integral- T.U.A.C.D. cod 665.pdf
PRIMER AÑO,656,Administración Básica,5,70,-,2º CUATRIMESTRE,assets/pdf/carreras/Programas/TUAC/Resol-CD 124. A.BA- T.U.A.C.D.cod 656.pdf
SEGUNDO AÑO,657,Tecnología de la Información,6,84,656,1º CUATRIMESTRE,assets/pdf/carreras/Programas/TUAC/RCD 059-2025 TUAC COD.657 TEC. DE LA INFORMACION.pdf
SEGUNDO AÑO,658,Derecho Comercial,6,84,654,1º CUATRIMESTRE,assets/pdf/carreras/Programas/TUAC/RCD 060-2025 TUAC - COD.658- DERECHO COMERCIAL.pdf
SEGUNDO AÑO,659,Álgebra Lineal,3,42,655,1º CUATRIMESTRE,assets/pdf/carreras/Programas/TUAC/RCD 061-2025 TUAC - COD. 659 ALGEBRA LINEAL.pdf
SEGUNDO AÑO,660,Introducción a la Contabilidad Financiera,5,70,651,2º CUATRIMESTRE,assets/pdf/carreras/Programas/TUAC/RCD 062-2025 TUAC - COD.660 INTRODUCCION A LA CONTABILIDAD FINANCIERA.pdf
SEGUNDO AÑO,661,Comportamiento organizacional,6,84,656,2º CUATRIMESTRE,assets/pdf/carreras/Programas/TUAC/RCD 063-2025 TUAC - COD.661 COMPORTAMIENTO ORGANIZACIONAL.pdf
SEGUNDO AÑO,662,Microeconomía,6,84,659,2º CUATRIMESTRE,
SEGUNDO AÑO,663,Sistemas y procedimientos administrativos,6,84,656-657,2º CUATRIMESTRE,assets/pdf/carreras/Programas/TUAC/Resol-CD 125.Sistem. y Procedimientos Adm. cod 663.pdf
ACREDITACIÓN DE CONOCIMIENTOS AL FINALIZAR EL CICLO BÁSICO,664,Inglés Técnico Básico,---,---,-,,assets/pdf/carreras/Programas/TUAC/Resol-CD 117.Ingles Tec-Basico.T.U.A.C.D- cod 664.pdf
CICLO DE FORMACION TÉCNICA TERCER AÑO,665,Administración de la Comercialización,6,84,661,1º CUATRIMESTRE,
CICLO DE FORMACION TÉCNICA TERCER AÑO,666,Mercado logística y promoción,6,84,660,1º CUATRIMESTRE,
CICLO DE FORMACION TÉCNICA TERCER AÑO,667,Técnicas de Promoción y Publicidad,5,70,657,1º CUATRIMESTRE,
CICLO DE FORMACION TÉCNICA TERCER AÑO,668,Taller de Comercialización Digital,6,84,657,1º CUATRIMESTRE,
CICLO DE FORMACION TÉCNICA TERCER AÑO,669,Política de Productos y de fijación de Precios,6,84,657 – 660,2º CUATRIMESTRE,
CICLO DE FORMACION TÉCNICA TERCER AÑO,670,Comercio Electrónico,6,84,657,2º CUATRIMESTRE,
CICLO DE FORMACION TÉCNICA TERCER AÑO,671,Taller de Posicionamiento Digital,8,112,657,2º CUATRIMESTRE,
