Año,Código,Asignatura,Correlativas,url
1,871,Introducción a la Administración Pública,---,assets/pdf/carreras/pregrado/TUAP/introAdministracionPublica.pdf
1,872,Derecho Público I,---,assets/pdf/carreras/pregrado/TUAP/derechoPublico-1.pdf
1,874,Comportamiento Organizacional,871,assets/pdf/carreras/pregrado/TUAP/comportamientoOrganizacional.pdf
1,873,Introducción a las Finanzas Públicas,---,assets/pdf/carreras/pregrado/TUAP/introFinanzasPublicas.pdf
1,875,Teoría Administrativa,871,assets/pdf/carreras/pregrado/TUAP/teoriaAdministrativa.pdf
1,877,Las Organizaciones Públicas,874/875,assets/pdf/carreras/pregrado/TUAP/organizacionesPublicas.pdf
1,876,Hacienda Pública I,872/873,assets/pdf/carreras/pregrado/TUAP/haciendaPublica-I.pdf
2,878,Derecho Público II,872,assets/pdf/carreras/pregrado/TUAP/derechoPublico-2.pdf
2,879,Teoría Contable,875,assets/pdf/carreras/pregrado/TUAP/teoriaContable.pdf
2,880,Hacienda Pública II,876/878,assets/pdf/carreras/pregrado/TUAP/haciendaPublica-II.pdf
2,881,La Gerencia Pública,877,assets/pdf/carreras/pregrado/TUAP/gerenciaPublica.pdf
2,882,Las Políticas Públicas,877,assets/pdf/carreras/pregrado/TUAP/politicasPublicas.pdf
2,883,Taller de Métodos Cuantitativos e Informática,879,assets/pdf/carreras/pregrado/TUAP/métodosCuantitativos.pdf
2,884,Seminario,*,assets/pdf/carreras/pregrado/TUAP/seminario.pdf
